aam_appasset
pk_asset,assetname,dataidname
1001Z31000000003A03N,报表-借款人借款账龄查询(汇总),借款人借款账龄查询(汇总)
1001Z31000000003A03P,报表-部门费用趋势图,部门费用趋势图
1001Z31000000003A03Q,报表-申请部门费用申请执行情况查询,申请部门费用申请执行情况查询
1001Z31000000003A03R,报表-部门费用汇总表,部门费用汇总表
1001Z310000000039ZRH,单据模板-费用_报销单,费用_报销单
1001Z310000000039ZRI,单据模板-费用单据间字段对照,费用单据间字段对照
1001Z310000000039ZRK,单据模板-费用分摊规则,费用分摊规则
1001Z310000000039ZRL,单据模板-费用分摊规则,费用分摊规则
1001Z310000000039ZRM,单据模板-单据对照表,单据对照表
1001Z310000000039ZRN,单据模板-费用申请单控制单据,费用申请单控制单据
1001Z310000000039ZRO,单据模板-费用申请单控制维度,费用申请单控制维度
1001Z310000000039ZRP,单据模板-费用申请单卡片,费用申请单卡片
1001Z310000000039ZRQ,单据模板-费用申请单管理模板,费用申请单管理模板
1001Z310000000039ZRR,单据模板-常用单据集团设置列表模板,常用单据集团设置列表模板
1001Z31000000003A012,消息模板-报销预警消息模板,报销预警消息模板
1001Z31000000003A016,消息类型-费用管理,费用管理
1001Z31000000003A017,消息类型-借还款预警,借还款预警
1001Z31000000003A018,消息类型-费用管理,费用管理
1001Z31000000003A019,消息类型-申请单,申请单
1001Z31000000003A01A,消息类型-借款单,借款单
1001Z31000000003A01B,消息类型-报销单,报销单
1001Z31000000003A01I,预警类型-借款单还款预警,借款单还款预警
1001Z31000000003A034,报表-成本中心费用申请执行情况查询,成本中心费用申请执行情况查询
1001Z31000000003A036,报表-报销人费用明细账,报销人费用明细账
1001Z31000000003A03S,报表-申请人费用申请执行情况查询,申请人费用申请执行情况查询
1001Z31000000003A02I,业务事件类型-ERM1002,ERM1002
1001Z31000000003A03W,权限资源-报销管理报销单,报销管理报销单
1001Z31000000003A03X,权限资源-报销管理借款单,报销管理借款单
1001Z31000000003A03Y,权限资源-费用申请单,费用申请单
1001Z31000000003A03Z,权限资源-费用结转单,费用结转单
1001Z31000000003A037,报表-部门费用明细账,部门费用明细账
1006Z310000000018VXD,编码规则-主报销单,主报销单
1006Z310000000018VXE,编码规则-主借款单,主借款单
1001Z31000000003A039,报表-单位费用明细账,单位费用明细账
1001Z31000000003A03A,报表-费用单位汇总表,费用单位汇总表
1001Z31000000003A03B,报表-费用账表明细,费用账表明细
1001Z31000000003A03C,报表-费用余额汇总表,费用余额汇总表
1001Z31000000003A03D,报表-摊销信息分析帐表,摊销信息分析帐表
1001Z31000000003A03E,报表-收支项目费用趋势图,收支项目费用趋势图
1001Z31000000003A03G,报表-借款账龄分析报表格式,借款账龄分析报表格式
1001Z31000000003A03H,报表-借款账龄明细分析报表格式,借款账龄明细分析报表格式
1001Z31000000003A03I,报表-借款明细账,借款明细账
1001Z310000000039ZPG,功能-账表初始化,账表初始化
1001Z310000000039ZPH,功能-借款人借款账龄分析,借款人借款账龄分析
1001Z310000000039ZPJ,功能-借款人借款账龄分析,借款人借款账龄分析
1001Z310000000039ZPL,功能-费用核算,费用核算
