bd_billtype
pk_billtypeid,billtypename
1001Z310000000028ERQ,费用预提单
0001Z31000000000DL7C,费用申请单
1001Z31000000001DKFG,费用申请单
0000Z300000000002631,差旅费借款单
0000Z300000000002632,会议费借款单
0000Z30000000000263X,主借款单
0000Z300000000002641,差旅费报销单
0000Z300000000002642,交通费报销单
0000Z300000000002643,通讯费报销单
0000Z300000000002644,礼品费报销单
0000Z300000000002645,招待费报销单
0000Z300000000002646,会议费报销单
0000Z300000000002647,还款单
0000Z30000000000264X,主报销单
0001Z31000000000DL7T,费用结转单
1001Z31000000000DI44,费用结转单
1001Z310000000004KD6,摊销信息
1001Z310000000018ERQ,费用预提单
A001Z310000000018K65,费用调整结转单
0001Z310000000018A67,报销转固单
0001Z310000000018A5J,费用调整单
