fip_billitem
pk_billitem,attrname,explanation
1001Z31000000001T0B4,主键,
1001Z31000000001T0B5,所属集团,
1001Z31000000001T0B6,财务组织,
1001Z31000000001T0B7,单据类型,
1001Z31000000001T0B8,交易类型编号,
1001Z31000000001T0B9,交易类型,
1001Z31000000001T0BA,单据编号,
1001Z31000000001T0BB,制单日期,
1001Z31000000001T0BC,币种,
1001Z31000000001T0BD,单据状态,
1001Z31000000001T0BE,审批状态,
1001Z31000000001T0BF,生效状态,
1001Z31000000001T0BG,组织本币汇率,
1001Z31000000001T0BH,集团本币汇率,
1001Z31000000001T0BI,全局本币汇率,
1001Z31000000001T0BJ,金额,
1001Z31000000001T0BK,组织本币金额,
1001Z31000000001T0BL,集团本币金额,
1001Z31000000001T0BM,全局本币金额,
1001Z31000000001T0BN,核销金额,
1001Z31000000001T0BO,组织本币核销金额,
1001Z31000000001T0BP,集团本币核销金额,
1001Z31000000001T0BQ,全局本币核销金额,
1001Z31000000001T0BR,预计余额,
1001Z31000000001T0BS,余额,
1001Z31000000001T0BT,组织本币余额,
1001Z31000000001T0BU,集团本币余额,
1001Z31000000001T0BV,全局本币余额,
1001Z31000000001T0BW,事由,
1001Z31000000001T0BX,附件张数,
1001Z31000000001T0BY,经办人单位,
1001Z31000000001T0BZ,经办人部门,
1001Z31000000001T0C0,经办人,
1001Z31000000001T0C1,自定义项1,
1001Z31000000001T0C2,自定义项2,
1001Z31000000001T0C3,自定义项3,
1001Z31000000001T0C4,自定义项4,
1001Z31000000001T0C5,自定义项5,
1001Z31000000001T0C6,自定义项6,
1001Z31000000001T0C7,自定义项7,
1001Z31000000001T0C8,自定义项8,
1001Z31000000001T0C9,自定义项9,
1001Z31000000001T0CA,自定义项10,
1001Z31000000001T0CB,自定义项11,
1001Z31000000001T0CC,自定义项12,
1001Z31000000001T0CD,自定义项13,
1001Z31000000001T0CE,自定义项14,
1001Z31000000001T0CF,自定义项15,
1001Z31000000001T0CG,自定义项16,
1001Z31000000001T0CH,自定义项17,
1001Z31000000001T0CI,自定义项18,
1001Z31000000001T0CJ,自定义项19,
1001Z31000000001T0CK,自定义项20,
1001Z31000000001T0CL,自定义项21,
1001Z31000000001T0CM,自定义项22,
1001Z31000000001T0CN,自定义项23,
1001Z31000000001T0CO,自定义项24,
1001Z31000000001T0CP,自定义项25,
1001Z31000000001T0CQ,自定义项26,
1001Z31000000001T0CR,自定义项27,
1001Z31000000001T0CS,自定义项28,
1001Z31000000001T0CT,自定义项29,
1001Z31000000001T0CU,自定义项30,
1001Z31000000001T0CV,审批人,
1001Z31000000001T0CW,审批时间,
1001Z31000000001T0CX,正式打印人,
1001Z31000000001T0CY,正式打印日期,
1001Z31000000001T0CZ,创建人,
1001Z31000000001T0D0,创建时间,
1001Z31000000001T0D1,最后修改人,
1001Z31000000001T0D2,最后修改时间,
1001Z31000000001T0D3,审批流发起人,
1001Z31000000001T0D4,是否预算再校验,
1001Z31000000001T0D5,预算预警信息,
1001Z31000000001T0D6,主键,
1001Z31000000001T0D7,行号,
1001Z31000000001T0D8,费用承担单位,
1001Z31000000001T0D9,费用承担部门,
1001Z31000000001T0DA,收支项目,
1001Z31000000001T0DB,利润中心,
1001Z31000000001T0DC,成本中心,
1001Z31000000001T0DD,核算要素,
1001Z31000000001T0DE,项目,
1001Z31000000001T0DF,项目任务,
1001Z31000000001T0DG,供应商,
1001Z31000000001T0DH,客户,
1001Z31000000001T0DI,产品线,
1001Z31000000001T0DJ,品牌,
1001Z31000000001T0DK,组织本币汇率,
1001Z31000000001T0DL,集团本币汇率,
1001Z31000000001T0DM,全局本币汇率,
1001Z31000000001T0DN,金额,
1001Z31000000001T0DO,组织本币金额,
1001Z31000000001T0DP,集团本币金额,
1001Z31000000001T0DQ,全局本币金额,
1001Z31000000001T0DR,核销金额,
1001Z31000000001T0DS,组织本币核销金额,
1001Z31000000001T0DT,集团本币核销金额,
1001Z31000000001T0DU,全局本币核销金额,
1001Z31000000001T0DV,预计余额,
1001Z31000000001T0DW,余额,
1001Z31000000001T0DX,组织本币余额,
1001Z31000000001T0DY,集团本币余额,
1001Z31000000001T0DZ,全局本币余额,
1001Z31000000001T0E0,自定义项1,
1001Z31000000001T0E1,自定义项2,
1001Z31000000001T0E2,自定义项3,
1001Z31000000001T0E3,自定义项4,
1001Z31000000001T0E4,自定义项5,
1001Z31000000001T0E5,自定义项6,
1001Z31000000001T0E6,自定义项7,
1001Z31000000001T0E7,自定义项8,
1001Z31000000001T0E8,自定义项9,
1001Z31000000001T0E9,自定义项10,
1001Z31000000001T0EA,自定义项11,
1001Z31000000001T0EB,自定义项12,
1001Z31000000001T0EC,自定义项13,
1001Z31000000001T0ED,自定义项14,
1001Z31000000001T0EE,自定义项15,
1001Z31000000001T0EF,自定义项16,
1001Z31000000001T0EG,自定义项17,
1001Z31000000001T0EH,自定义项18,
1001Z31000000001T0EI,自定义项19,
1001Z31000000001T0EJ,自定义项20,
1001Z31000000001T0EK,自定义项21,
1001Z31000000001T0EL,自定义项22,
1001Z31000000001T0EM,自定义项23,
1001Z31000000001T0EN,自定义项24,
1001Z31000000001T0EO,自定义项25,
1001Z31000000001T0EP,自定义项26,
1001Z31000000001T0EQ,自定义项27,
1001Z31000000001T0ER,自定义项28,
1001Z31000000001T0ES,自定义项29,
1001Z31000000001T0ET,自定义项30,
1001Z31000000001T0EU,唯一标识,
1001Z31000000001T0EV,预提明细行,
1001Z31000000001T0EW,报销单,
1001Z31000000001T0EX,核销金额,
1001Z31000000001T0EY,组织本币核销金额,
1001Z31000000001T0EZ,集团本币核销金额,
1001Z31000000001T0F0,全局本币核销金额,
1001Z31000000001T0F1,核销人,
1001Z31000000001T0F2,核销日期,
1001Z31000000001T0F3,生效状态,
1001Z31000000001T0F4,生效日期,
1001Z31000000001T0F5,所属组织,
1001Z31000000001T0F6,所属集团,
1001Z31000000001T0F7,预提单据编号,
1001Z31000000001T0F8,报销单据编号,
1001Z31000000001T0F9,收支项目,
