fip_factor
pk_factor,displayname
0001Z31000000000QTBK,支付单位
0001Z31000000000HIAE,成本中心
0001Z31000000000HIA1,借款报销人
0001Z31000000000HIA2,费用承担部门
0001Z31000000000HIA3,借款报销部门
0001Z31000000000HIA4,结算方式
0001Z31000000000HIA5,收支项目
0001Z31000000000HIA6,现金流量
0001Z31000000000HIA7,借款报销人所在单位
0001Z31000000000HIA8,费用承担单位
0001Z31000000000HIA9,借款报销单位
0001Z31000000000HIAA,币种
0001Z31000000000HIAB,客商
0001Z31000000000HIAC,付款银行账户
0001Z31000000000HIAD,项目
1001Z31000000000E9P4,利润中心
1001Z31000000000E9P5,核算要素
1001Z31000000000E9P8,产品线
1001Z31000000000E9P9,品牌
1001Z31000000000E8P4,客户
1001Z31000000000E9P1,收款对象
1001Z31000000000E9P2,收款人
1001Z31000000000E9P3,供应商
