ntb_id_bdcontrast
pk_obj,att_fld_desc,busisys_name
ERMtZ300000000000004,借款报销人单位,报销管理
ERMtZ300000000000003,费用承担单位,报销管理
ERMtZ300000000000061,成本中心,报销管理
ERMtZ300000000000001,借款报销人部门,报销管理
ERMtZ300000000000002,费用承担部门,报销管理
ERMtZ300000000000005,供应商,报销管理
ERMtZ300000000000006,项目,报销管理
ERMtZ300000000000010,客户,报销管理
ERMtZ300000000000015,收支项目,报销管理
ERMtZ300000000000018,币种,报销管理
ERMtZ300000000000019,财务组织,报销管理
ERMtZ300000000000020,资金计划指标,报销管理
ERMtZ300000000000021,利润中心,报销管理
ERMtZ300000000000062,申请部门,报销管理
ERMtZ300000000000066,项目任务,报销管理
ERMtZ300000000000067,支付单位,报销管理
ERMtZ300000000000073,核算要素,报销管理
ERMtZ300000000000071,产品线,报销管理
ERMtZ300000000000072,品牌,报销管理
