pub_billaction
pk_billaction,actionnote,showhint
1001Z31000000001QUTB,删除,
1001Z31000000001QUTA,提交,
1001Z31000000002QUTA,审批,
1001Z31000000003QUTA,收回,
1001Z31000000004QUTA,反审批,
0001Z3100000000070EB,审核,
0001Z3100000000070EC,结算,
0001Z3100000000070ED,反结算,
0001Z3100000000070EE,保存,
0001Z3100000000070EF,修改,
0001Z3100000000070EG,反审核,
0001Z3100000000070EH,删除,
0001Z3100000000070EN,审核,
0001Z3100000000070EO,结算,
0001Z3100000000070EP,反结算,
0001Z3100000000070EQ,保存,
0001Z3100000000070ER,修改,
0001Z3100000000070ES,反审核,
0001Z3100000000070ET,删除,
0001Z3100000000071ED,反结算,
1004Z310000000000KU5,委托办理,
0001Z3100000000070EU,委托办理,
0001Z3100000000071EE,委托办理,
1001Z310000000008LE2,启动工作流,
1001Z310000000008LE3,收回工作流,
1001Z310000000008LE4,驱动工作流,
1001Z310000000008LE5,回退工作流,
1001Z31000000001VG91,收回,
1001Z310000000005LE2,启动工作流,
1001Z310000000005LE3,收回工作流,
1001Z310000000005LE4,驱动工作流,
1001Z310000000005LE5,回退工作流,
1001Z31000000001VG90,收回,
1001Z310000000007LE2,启动工作流,
1001Z310000000007LE3,收回工作流,
1001Z310000000007LE4,驱动工作流,
1001Z310000000007LE5,回退工作流,
1001Z31000000001I9PF,删除,
1001Z31000000001I9PG,提交,
1001Z31000000001I9PH,审批,
1001Z31000000001I9PI,收回,
1001Z31000000001I9PJ,反审批,
1001Z310000000006LE2,启动工作流,
1001Z310000000006LE3,收回工作流,
1001Z310000000006LE4,驱动工作流,
1001Z310000000006LE5,回退工作流,
0001Z3100000000070EI,委托办理,
