pub_eventlistener
pk_eventlistener,name
1001Z31000000001570Z,报销单转费用结转单监听
1001Z310000000020PAH,冲借款控制插件
1001Z31000000001SXZ6,费用申请单回写控制
1001Z3100000000041W5,报销单转费用结转单插件
1001Z3100000000214RR,费用管理参数修改控制
1001Z31000000000N9YX,借款报销预算插件
1001Z31000000000DZ5I,费用结转单预算控制
1001Z31000000000EVIX,费用申请单预算控制
1001Z3100000000041W3,报销转费用插件
1001Z3100000002388C6,报销反关账前
1001Z3100000002488C6,报销批量反关账前
1007Z310000000000Q8Q,供应商报销信息合并
1001Z310000000020PAE,冲借款控制插件
1001Z310000000020PAJ,冲借款控制插件
1001Z3100000000215J0,费用结账反确认前需要校验结账情况
1001Z31000000001SXZ5,费用申请单回写控制
1001Z31000000001SXZ7,费用申请单回写控制
1001Z31000000000N9YU,借款报销预算控制插件
1001Z31000000000N9YV,借款报销预算控制插件
1001Z31000000000N9YW,冲借款控制插件
1001Z31000000002CEL0,费用账同步
1001Z31000000000N9YY,冲借款控制插件
1001Z31000000000NGWR,借款控制插件
1001Z31000000000NGWS,借款控制插件
1001Z31000000000NGWT,借款控制插件
1001Z31000000000DZ5H,费用结转单预算控制
1001Z31000000000DZ5J,费用结转单预算控制
1001Z31000000000DZ5L,费用结转单预算控制
1001Z31000000000EVIV,费用申请单预算控制
1001Z31000000000EVIW,费用申请单预算控制
1001Z31000000000EVIY,费用申请单预算控制
1001Z31000000000D0D7,报销单转摊销控制插件
1001Z31000000000D0D8,报销摊销设置控制插件
1001Z31000000000SMVG,摊销预算控制插件
1001Z3100000000041W4,报销单转费用结转单插件
1001Z3100000000041W6,报销单转费用结转单插件
1001Z3100000000041W8,报销单转费用结转单插件
1001Z310000000002TXI,费用账表同步
1001Z310000000002TXJ,费用账表同步
1001Z310000000002TXL,费用账表同步
1001Z31000000000ANHR,报销单摊销控制插件
1001Z310000000020BEB,erm结账检查
1001Z31000000000MSBR,费用明细账同步
1001Z31000000000MSBT,费用明细账同步
1001Z31000000000MSBV,费用明细账同步
1001Z31000000000N9YR,报销预算控制
1001Z31000000000N9YS,借款控制插件
1001Z31000000000N9YT,借款报销预算控制插件
1001Z31000000001TIU4,费用申请单预算控制
1001Z31000000001DOL3,项目预算插件
1001Z31000000001DOL1,项目预算插件
1001Z31000000001DOL2,项目预算插件
1001Z31000000001DOL4,项目预算插件
1001Z31000000002Z26J,结账前校验是否生效
1001Z31000000001Y70B,报销单取消生效前要校验是否摊销生效
1001Z31000000002KXOJ,费用结账确认前需要校验结账情况
1001Z31000000002TF8J,项目预算控制插件
1001Z310000000042WL1,报销反结账前
1001Z3100000000052VO,收支项目取消分配前费用校验
1001Z3100000000052VK,资金计划项目取消分配前费用校验
1001Z3100000000052VS,现金流量项目取消分配前费用校验
1001Z31000000002CEKZ,费用账同步
1001Z31000000010K9Y9,erm监听集团设置集团单据类型预置数据
1001Z31000000001SXZ4,费用申请单回写控制
1001Z31000000000DZ5K,费用结转单预算控制
1001Z31000000000EVJ5,费用申请单预算控制
1001Z310000000011UNN,摊销费用帐插件
1001Z310000000002TXH,费用账表同步
1001Z31000000000ANHQ,报销单摊销控制插件
1001Z31000000000MSBU,费用明细账同步
1001Z31000000002Z26H,结账前校验期初是否关闭
1001Z3100000000477QE,结账前校验是否有未摊销的摊销信息
1001Z31000000000ZA2A,报销分摊回写申请单
1001Z31000000000ZA2B,报销分摊回写申请单
1001Z31000000000ZA2C,报销分摊回写申请单
1001Z31000000000ZA2D,报销分摊回写申请单
1001Z31000000001VU4T,签字前需要判断是否结账
1001Z310000000020X0G,单据取消生效时需要校验结账情况
1001Z31000000000ZA2E,报销分摊回写申请单
1001Z310000000046B9P,费用申请单责任凭证生成
1001Z310000000046I7N,费用申请单责任凭证生成
1001Z310000000006JDE,费用申请单责任凭证生成
1001Z31000000000Y29K,费用申请单责任凭证生成
0001Z310000000002TV7,费用客户可见性范围
0001Z310000000002TV8,费用客户可见性范围
0001Z310000000002TVB,费用供应商可见性范围
0001Z310000000002TVI,费用供应商可见性范围
1001Z31000000001S9AH,预提单责任凭证生成
1001Z31000000001S9AI,预提单责任凭证生成
1001Z3100000000202WT,预提单责任凭证生成
1001Z3100000000202WU,费用帐表同步
1001Z3100000000202WV,预提单预算控制
1001Z3100000000202WW,预提单预算控制
1001Z3100000000202WX,预提单责任凭证生成
1001Z3100000000202WY,费用帐表同步
1001Z3100000000041W7,报销单转费用结转单插件
1001Z310000000002TXM,费用账表同步
1001Z31000000000MSBS,费用明细账同步
1001Z31000000001TIU3,费用申请单预算控制
1001Z310000000009KXZ,费用申请单回写控制
1001Z31000000002UVPF,费用管理预置集团数据插件
0011Z310000000002LV7,费用客户可见性范围
0011Z310000000002LV8,费用客户可见性范围
0011Z310000000002LVT,费用供应商可见性范围
0011Z310000000002LVI,费用供应商可见性范围
1001Z31000000001SZIP,费用帐表同步
1001Z31000000001SZIQ,费用帐表同步
1001Z31000000001SZIR,费用帐表同步
1001Z31000000001SZIS,费用帐表同步
1001Z31000000001SZIT,费用帐表同步
1001Z31000000001TIVI,预提单预算控制
1001Z31000000001TIVJ,预提单预算控制
1001Z31000000001TIVK,预提单预算控制
1001Z31000000001TIVL,预提单预算控制
1001Z31000000001TIVM,预提单预算控制
