sm_busiworkflow_cell
pk_cell,name
1001Z31000000000VYI9,
1001Z31000000000VYGW,授权代理设置
1001Z31000000000VYID,
1001Z31000000000VYGX,个人授权设置-集团
1001Z31000000000VYGY,借款控制设置-集团
1001Z31000000000VYGZ,常用单据设置-集团
1001Z31000000000VYH0,费用类型设置
1001Z31000000000VYH1,报销标准设置
1001Z31000000000VYI0,费用申请控制规则设置
1001Z31000000000VYH2,报销类型设置
1001Z31000000000VYI1,基础设置
1001Z31000000000VYHO,待摊费用摊销情况查询
1001Z31000000000VYIA,
1001Z31000000000VYIB,
1001Z31000000000VYH3,期初单据
1001Z31000000000VYHI,费用申请流程
1001Z31000000000VYHZ,结账
1001Z31000000000VYIG,
1001Z31000000000VYI2,借款报销流程
1001Z31000000000VYIE,
1001Z31000000000VYHP,申请人费用申请执行情况查询
1001Z31000000000VYH4,会议费借款单
1001Z31000000000VYH5,差旅费借款单
1001Z31000000000VYH6,通讯费报销单
1001Z31000000000VYIF,
1001Z31000000000VYH7,招待费报销单
1001Z31000000000VYH8,差旅费报销单
1001Z31000000000VYH9,会议费报销单
1001Z31000000000VYHA,礼品费报销单
1001Z31000000000VYHB,交通费报销单
1001Z31000000000VYHC,还款单
1001Z31000000000VYI3,账表查询
1001Z31000000000VYHQ,借款人借款账龄分析
1001Z31000000000VYHD,单据管理
1001Z31000000000VYHE,单据查询
1001Z31000000000VYHJ,费用申请单
1001Z31000000000VYHK,费用申请单管理
1001Z31000000000VYHR,借款人借款余额表
1001Z31000000000VYHF,关账
1001Z31000000000VYHS,借款人借款明细账
1001Z31000000000VYIC,
1001Z31000000000VYHT,报销人费用汇总表
1001Z31000000000VYHU,部门费用汇总表
1001Z31000000000VYHL,费用核算
1001Z31000000000VYGS,业务单元
1001Z31000000000VYGT,交易类型管理
1001Z31000000000VYHV,费用承担部门趋势分析
1001Z31000000000VYHG,
1001Z31000000000VYGU,审批流定义
1001Z31000000000VYHM,费用结转
1001Z31000000000VYHN,待摊费用摊销
1001Z31000000000VYI4,
1001Z31000000000VYI5,
1001Z31000000000VYHW,报销人费用明细账
1001Z31000000000VYHH,
1001Z31000000000VYGV,参数设置
1001Z31000000000VYHX,部门费用明细账
1001Z31000000000VYHY,费用承担部门趋势分析
1001Z31000000000VYI6,
1001Z31000000000VYI7,
1001Z31000000000VYI8,
